timestamp,can_id,signal,value,label
1769455117.8139737,0x103,brake,0.0,replay
1769455117.948615,0x100,speed,0.0,replay
1769455117.948615,0x101,steering,0.0,replay
1769455117.948615,0x102,throttle,0.0,replay
1769455117.948615,0x103,brake,0.0,replay
1769455118.201937,0x100,speed,0.0,replay
1769455118.201937,0x101,steering,0.0,replay
1769455118.201937,0x102,throttle,0.0,replay
1769455118.201937,0x103,brake,0.0,replay
1769455118.3146358,0x100,speed,0.0,replay
1769455118.3146358,0x101,steering,0.0,replay
1769455118.3146358,0x102,throttle,0.0,replay
1769455118.3146358,0x103,brake,0.0,replay
1769455118.4288437,0x100,speed,0.0,replay
1769455118.4288437,0x101,steering,0.0,replay
1769455118.4288437,0x102,throttle,0.0,replay
1769455118.4288437,0x103,brake,0.0,replay
1769455118.5604908,0x100,speed,0.0,replay
1769455118.5604908,0x101,steering,0.0,replay
1769455118.5604908,0x102,throttle,0.0,replay
1769455118.5604908,0x103,brake,0.0,replay
1769455118.6954117,0x100,speed,0.0,replay
1769455118.6954117,0x101,steering,0.0,replay
1769455118.6954117,0x102,throttle,0.0,replay
1769455118.6954117,0x103,brake,0.0,replay
1769455118.8254678,0x100,speed,0.0,replay
1769455118.8254678,0x101,steering,0.0,replay
1769455118.8254678,0x102,throttle,0.0,replay
1769455118.8254678,0x103,brake,0.0,replay
1769455118.9874628,0x100,speed,0.0,replay
1769455118.9874628,0x101,steering,0.0,replay
1769455118.9874628,0x102,throttle,0.0,replay
1769455118.9874628,0x103,brake,0.0,replay
1769455119.0874891,0x100,speed,0.0,replay
1769455119.0874891,0x101,steering,0.0,replay
1769455119.0874891,0x102,throttle,0.0,replay
1769455119.0874891,0x103,brake,0.0,replay
1769455119.166733,0x100,speed,0.0,replay
1769455119.166733,0x101,steering,0.0,replay
1769455119.166733,0x102,throttle,0.0,replay
1769455119.166733,0x103,brake,0.0,replay
1769455119.275227,0x100,speed,0.0,replay
1769455119.275227,0x101,steering,0.0,replay
1769455119.275227,0x102,throttle,0.0,replay
1769455119.275227,0x103,brake,0.0,replay
1769455119.5193038,0x100,speed,0.0,replay
1769455119.5193038,0x101,steering,0.0,replay
1769455119.5193038,0x102,throttle,0.0,replay
1769455119.5193038,0x103,brake,0.0,replay
1769455119.622547,0x100,speed,0.0,replay
1769455119.622547,0x101,steering,0.0,replay
1769455119.622547,0x102,throttle,0.0,replay
1769455119.622547,0x103,brake,0.0,replay
1769455119.6883771,0x100,speed,0.0,replay
1769455119.6883771,0x101,steering,0.0,replay
1769455119.6883771,0x102,throttle,0.0,replay
1769455119.6883771,0x103,brake,0.0,replay
1769455119.7930806,0x100,speed,0.0,replay
1769455119.7930806,0x101,steering,0.0,replay
1769455119.7930806,0x102,throttle,0.0,replay
1769455119.7930806,0x103,brake,0.0,replay
1769455119.923731,0x100,speed,0.0,replay
1769455119.923731,0x101,steering,0.0,replay
1769455119.923731,0x102,throttle,0.0,replay
1769455119.923731,0x103,brake,0.0,replay
1769455120.0095022,0x100,speed,0.0,replay
1769455120.0095022,0x101,steering,0.0,replay
1769455120.0095022,0x102,throttle,0.0,replay
1769455120.0095022,0x103,brake,0.0,replay
1769455120.1092389,0x100,speed,0.0,replay
1769455120.1092389,0x101,steering,0.0,replay
1769455120.1092389,0x102,throttle,0.0,replay
1769455120.1092389,0x103,brake,0.0,replay
1769455120.2937431,0x100,speed,0.0,replay
1769455120.2937431,0x101,steering,0.0,replay
1769455120.2937431,0x102,throttle,0.0,replay
1769455120.2937431,0x103,brake,0.0,replay
1769455120.3895,0x100,speed,0.0,replay
1769455120.3895,0x101,steering,0.0,replay
1769455120.3895,0x102,throttle,0.0,replay
1769455120.3895,0x103,brake,0.0,replay
1769455120.4962018,0x100,speed,0.0,replay
